0x82002FF0	Enable Season Ticket
0x8201FED4	AgilityRatingMod
0x8201FEE8	AccelRatingMod
0x8201FEF8	SpeedRatingMod
0x8201FF08	ShotReleaseRating
0x8201FF1C	BalanceRating
0x8201FF2C	AgilityRating
0x8201FF3C	AccelRating
0x8201FF48	SpeedRating
0x8201FF54	DekeRating
0x8201FFC4	UseDevelopmentCvars
0x82020E90	CouldSimulateNet
0x82020EA4	CouldSimulateBoards
0x82020EB8	CouldSimulateSkater
0x82020ECC	CouldSimulate
0x82020EDC	OverrideSimulated
0x8202263C	StartedStanding
0x820249D4	NetBattlePlayerRatingScore
0x82025180	gMotionAllowAnimSpecifiedMotionForStandingTurns
0x8202718C	gBlownTireMaxRatingBias
0x82027A08	gDekeRatingEffect
0x82027A1C	gDekeRatingEffectCpu
0x82029AA0	gShowDraftPlyrsInSearch: 0 = No, 1 = Only Draft Plyrs, 2 = Yes
0x82029AF8	Mud min org goalies keep from retire
0x82029B20	Mud min org defense keep from retire
0x82029B48	Mud min org forwards keep from retire
0x82029C74	OTP CPU Ovr Rating Reduction
0x82029D48	TXT_TAI_TRADE_BLOCK_LOW2
0x82029D64	TXT_TAI_TRADE_BLOCK_LOW1
0x82029D80	TXT_TAI_TRADE_BLOCK_LOW0
0x82029DAC	TXT_TAI_TRADE_BLOCK_SOME2
0x82029DC8	TXT_TAI_TRADE_BLOCK_SOME1
0x82029DE4	TXT_TAI_TRADE_BLOCK_SOME0
0x82029E14	TXT_TAI_TRADE_BLOCK_MED2
0x82029E30	TXT_TAI_TRADE_BLOCK_MED1
0x82029E4C	TXT_TAI_TRADE_BLOCK_MED0
0x82029E78	TXT_TAI_TRADE_BLOCK_HIGH2
0x82029E94	TXT_TAI_TRADE_BLOCK_HIGH1
0x82029EB0	TXT_TAI_TRADE_BLOCK_HIGH0
0x82029EE0	TXT_TAI_TRADE_BLOCK_FULL2
0x82029EFC	TXT_TAI_TRADE_BLOCK_FULL1
0x82029F18	TXT_TAI_TRADE_BLOCK_FULL0
0x8202A194	TXT_TAI_CPU_ACCEPT_CPU_TRADE3
0x8202A1B4	TXT_TAI_CPU_ACCEPT_CPU_TRADE2
0x8202A1D4	TXT_TAI_CPU_ACCEPT_CPU_TRADE1
0x8202A1F4	TXT_TAI_USER_ACCEPT_TRADE1
0x8202A210	TXT_TAI_CPU_ACCEPT_TRADE3
0x8202A22C	TXT_TAI_CPU_ACCEPT_TRADE2
0x8202A248	TXT_TAI_CPU_ACCEPT_TRADE1
0x8202A310	TXT_TAI_USER_REJECT_NUM_RETAIN_TRADES_TEAM1
0x8202A33C	TXT_TAI_CPU_REJECT_NUM_RETAIN_TRADES_TEAM1
0x8202A368	TXT_TAI_USER_REJECT_NUM_RETAIN_TRADES_PLYR1
0x8202A394	TXT_TAI_CPU_REJECT_NUM_RETAIN_TRADES_PLYR1
0x8202A994	TXT_TAI_CPU_REJECT_CONTRACT_BAD3
0x8202A9B8	TXT_TAI_CPU_REJECT_CONTRACT_BAD2
0x8202A9DC	TXT_TAI_CPU_REJECT_CONTRACT_BAD1
0x8202EF28	TradeLogic::ComputeTradeBlock::hockeyTeam
0x8202F104	LEAGUELOGIC::TradeBrain::OrgRosterBrain
0x8202F12C	TXT_TRADE_FAILED_MUD
0x8202F144	System::TradeData::Instance
0x8202F1A4	StatVersusProgress
0x8202F228	TradeLogic::TradeLogic::mSaveData
0x8202F27C	NHL10_AchievementManager_mAwardWriteOverlapped
0x8202F2CF	`System::TradeLogic::Instance
0x8202F5B8	TradeLogic::Trade Evaluation::HockeyTeam
0x8202F8AC	LEGEND_TASK_TOP5_OVER_20_SEASON
0x8202F8CC	LegendTask::LegendTask::LEGEND_TASK_TOP5_OVER_20_SEASON
0x8202F904	LEGEND_TASK_4_CUPS_IN_SEASON
0x8202F924	LegendTask::LegendTask::LEGEND_TASK_4_CUPS_IN_SEASON
0x8202FB18	LEGEND_TASK_SCORE_8_PTS_IN_PLAYOFF
0x8202FB3C	LegendTask::LegendTask::LEGEND_TASK_SCORE_8_PTS_IN_PLAYOFF
0x8202FBD0	LEGEND_TASK_HAVE_30_PP_IN_2_SEASONS
0x8202FBF4	LegendTask::LegendTask::LEGEND_TASK_HAVE_30_PP_IN_2_SEASONS
0x8203005C	AccomplishmentDataManager::ResetAfterSeason::StatsBrain
0x82030094	SeasonAccomplishmentData::AccomplishmentDataManager
0x82030174	TradeLogic::Verify Valid Proposal::HockeyTeam
0x820303F4	AcceptTradeComplete
0x82030408	TXT_DRAFT_YEAR_PICK_AND_TEAM
0x82030434	TXT_DRAFT_YEAR_PICK_AND_TEAM_COMP
0x82030458	TXT_DRAFT_PICK_TEAM_COMP
0x8203047C	LEAGUELOGIC::TradeBrain
0x8203051C	warriordynastyhd1
0x82034E74	ONLINE_SEASONS_POSTGAME_CUPRESULTS
0x82034E98	ONLINE_SEASONS_POSTGAME_PROGRESS
0x82034EBC	ONLINE_SEASONS_BRACKETS
0x82034ED4	ONLINE_SEASONS_TROPHY
0x82034EEC	ONLINE_SEASONS_LEADERBOARD
0x82034F08	ONLINE_SEASONS_DIVCOUNT
0x82034F20	ONLINE_SEASONS_HUB
0x82035084	MUD_LEGACY_DRAFT_ORDER
0x82035110	MUD_DRAFT_PRIORITY
0x82035184	MUD_DYNASTY_SEARCH
0x82035350	CARDS_OFFER_TRADE
0x820353D8	CARDS_AWARDED_CREDITS
0x82035414	CARDS_TRADE_PILE
0x820354F8	ONLINE_PRO_PROGRESS_REPORT
0x82035514	ONLINE_PROGRESS_REPORT
0x82035560	CLUB_SCOUTING
0x82035718	GMS_FANTASY_DRAFT
0x8203572C	GMS_DRAFT_ORDER
0x82035760	BAP_DRAFT_DAY
0x82035780	BAP_OFFSEASON_CONTRACT
0x820357D0	BAP_CONTRACT_NEGOTIATIONS
0x82035818	BAP_PLAYER_GROWTH
0x82035934	P_PLAYER_TRADE_OFFER
0x8203594C	P_PLAYER_CONTRACT_RESPONSE
0x82035A5C	TM_PLAYOFF_TREE
0x82035AE0	DM_TRADE_BLOCK
0x82035AF0	DM_CONTRACT_BUYOUT
0x82035B04	DM_RETIRED_PLAYERS
0x82035B34	DM_INDI_PROGRESS_REPORT
0x82035B4C	DM_PROGRESS_REPORT
0x82035B60	DM_CONTRACT_OFFER
0x82035B74	DM_AWARDS
0x82035B90	DM_PLAYOFF_TREE
0x82035BC0	DM_TEAM_STANDINGS
0x82035BD4	DM_ENTRY_DRAFT
0x82035E3C	DM_CONTRACTS
0x82035E4C	DM_SCOUTING_CENTRAL
0x82035E60	DM_SCOUTING_PLAYER_PROFILE
0x82035E7C	DM_SCOUTING_REPORT
0x82035E90	DM_SCOUT_ASSIGNMENT
0x82035EE4	DM_TRADE_PLAYER
0x82035F08	DM_DYNASTY_HUB
0x82035F5C	DM_DYNASTY_INFO
0x82035F7C	GAME_SCOUTING_REPORT
0x8203626C	SIMULATION
0x82037BCF	cUNDRAFTED
0x82037EF0	HUT_ONLINE_PLAYOFF_GAME
0x82038060	SEASON
0x82038068	PLAYOFF
0x8203808C	CREATE_PLAYS_SEASON_MODE
0x820380A8	CREATE_PLAYS_PLAYOFF_MODE
0x820380F4	CREATE_PLAYS_DYNASTY
0x82038130	PRACTICE_GOALIE_SEASON_MODE
0x8203814C	PRACTICE_GOALIE_PLAYOFF_MODE
0x820381A4	PRACTICE_GOALIE_DYNASTY
0x820381CC	PRACTICE_TEAM_SEASON_MODE
0x820381E8	PRACTICE_TEAM_PLAYOFF_MODE
0x82038238	PRACTICE_TEAM_DYNASTY
0x82038260	PRACTICE_SKATING_SEASON_MODE
0x82038280	PRACTICE_SKATING_PLAYOFF_MODE
0x820382D8	PRACTICE_SKATING_DYNASTY
0x82038308	PRACTICE_SHOOTING_SEASON_MODE
0x82038328	PRACTICE_SHOOTING_PLAYOFF_MODE
0x82038384	PRACTICE_SHOOTING_DYNASTY
0x8203842C	CREATEPLAYER_SEASON
0x82038458	CREATEPLAYER_DYNASTY
0x82038498	DYNASTY
0x82038650	NHLDynamicRatings
0x82038857	PSIM REPRO: Away : %d   Home %d   RandSeed : %d   Season Phase : %d   Tie Game Rule : %d
0x82038A90	MemCard::Manager::SaveGroup::DynamicRatings
0x82038ABC	DynamicRatings
0x82038ACC	TXT_DYNAMIC_RATINGS
0x82038AE0	TXT_DYNAMIC_RATINGS_FILENAME
0x82038B00	MemCard::Manager::SaveGroupChunk::DYNAMIC_RATINGS_CHUNK
0x82038C3C	MemCard::Manager::SaveGroup::Season
0x82038C60	Seasons
0x82038C68	SeasonFile
0x82038C74	MemCard::Manager::SaveGroupChunk::ACCOMPLISHMENT_SEASON_CHUNK
0x82038CB4	MemCard::Manager::SaveGroup::Playoff
0x82038CDC	Playoffs
0x8203904C	MemCard::Manager::SaveGroup::Dynasty
0x82039080	Dynasty
0x82039A08	MemCard::Manager::SaveGroupChunk::pNhlTradeLogicChunk
0x8203AAE4	TEAM_OVERALL_RECORD
0x8203ADC4	STARS_OVERALL
0x8203ADF4	SKILL_RATINGS
0x8203AF58	SEASON_RECORD
0x8203AF68	SEASON_ABBR
0x8203AF8C	SCOUT_VISITS
0x8203AF9C	SCOUT_GRADE
0x8203AFA8	SCOUT_COUNTRY
0x8203AFB8	SCOUT_ATTRIBUTE_YEAR
0x8203AFD0	SCOUT_ATTRIBUTE_POSITION
0x8203AFEC	SCOUT_ATTRIBUTE_MONTH
0x8203B004	SCOUT_ATTRIBUTE_LOCATION
0x8203B020	SCOUT_ATTRIBUTE_TIME_SPENT
0x8203B03C	SCOUT_ATTRIBUTE_TIME_REMAINING
0x8203B05C	SCOUT_ATTRIBUTE_LAST_NAME
0x8203B078	SCOUT_ATTRIBUTE_FIRST_NAME
0x8203B094	SCOUT_ATTRIBUTE_DRAFT_ROUND
0x8203B0B0	SCOUT_ATTRIBUTE_DAY
0x8203B0C4	SCOUT_ATTRIBUTE_ACC_US
0x8203B0DC	SCOUT_ATTRIBUTE_ACC_SCANDINAVIA
0x8203B0FC	SCOUT_ATTRIBUTE_ACC_RUSSIA
0x8203B118	SCOUT_ATTRIBUTE_ACC_EUROPE
0x8203B134	SCOUT_ATTRIBUTE_ACC_CANADA
0x8203B298	RATINGS
0x8203B2A0	RATING_OFF
0x8203B2AC	RATING_MID
0x8203B2B8	RATING_GOALIE
0x8203B2C8	RATING_DEF
0x8203B2D4	RATING_ATT
0x8203B2E0	RATING
0x8203B37C	PUCKRATING
0x8203B394	PROJECTED_DRAFT_ROUND
0x8203B3AC	PROGRESS_NEW
0x8203B3BC	PROGRESS_LEVEL
0x8203B3CC	PROGRESS_KEY
0x8203B3DC	PROGRESS_ENUM
0x8203B3EC	PROGRESS
0x8203B48C	POTENTIAL_ACCURACY
0x8203B4A0	POTENTIAL
0x8203B528	PLAYOFF_TITLE
0x8203B538	PLAYOFF_SEED
0x8203B548	PLAYOFF_CHAMP_TITLE
0x8203B578	PLAYERS_CONTRACT
0x8203B61C	PLAYER_RATING_DELTA
0x8203B630	PLAYER_RATING
0x8203B7FC	PAST_PROJECTED_DRAFT_ROUND
0x8203B840	OVERALL_STAT_MOD
0x8203B854	OVERALL_RECORD
0x8203B864	OVERALL
0x8203B948	NUM_RETAINED_SALARY_TRADES
0x8203B964	NUM_RETAINED_CONTRACTS
0x8203BDA4	LAST_SEASON_RECORD
0x8203C0B8	HERO_RATING
0x8203C114	GRADE_OVERALL_PUCKRATING
0x8203C130	GRADE_STATS_PUCKRATING
0x8203C148	GRADE_TEAM_PUCKRATING
0x8203C160	GRADE_POSITION_PUCKRATING
0x8203C17C	GRADE_OVERALL_NAME
0x8203C1C8	GRADE_OVERALL
0x8203C21C	GRADE_POTENTIAL
0x8203C3BC	FLEX_RATINGS
0x8203C51C	ENTRY_LEVEL_ROOKIE
0x8203C570	DRAFTING_PRO_TEAM_NAME
0x8203C588	DRAFT_YEAR
0x8203C594	DRAFT_TEAM
0x8203C5A0	DRAFT_ROUND
0x8203C5AC	DRAFT_CHOICE
0x8203C71C	CURRENT_SEASON_RECORD
0x8203C734	CURRENT_SEASON
0x8203C754	CURRENT_RATING_WITH_BOOST
0x8203C770	CURRENT_RATING
0x8203C9CC	CONTRACT_TYPE_ID
0x8203C9E0	CONTRACT_TYPE
0x8203C9F0	CONTRACT_STATUS_STRING_ABBR
0x8203CA0C	CONTRACT_STATUS_STRING
0x8203CA24	CONTRACT_STATUS
0x8203CAF8	CAREER_PLAYOFF_WINS
0x8203CB0C	CAREER_PLAYOFF_SHUTOUTS
0x8203CB24	CAREER_PLAYOFF_POINTS
0x8203CB3C	CAREER_PLAYOFF_GOALS
0x8203CB54	CAREER_PLAYOFF_GAMES
0x8203CBD8	CANDRAFT
0x8203CD28	BASE_RATING
0x8203DEBC	HockeyPlayerListStorage::InitDraftPicks::mDraftPicks
0x8203E05B	PSortTradeBlockItemsByNeed::TeamTradeBlock::tempSortItems
0x8203E108	HockeyTeam::RefreshTradeBlockAssets::assetIndexToRemove
0x8203E140	TeamTradeBlock::_DetermineTradeInterest::tradeInfo
0x8203E174	TeamTradeBlock::_DetermineTradeInterest::duplicateTracking
0x8203E218	HockeyPlayer::mGrowthLogic
0x8203E3B4	HockeyPlayerListStorage::copyconstructor::mDraftPicks
0x8203E610	ProposeTrade::_CheckCanResolveTrade::HockeyTeam
0x82041EF8	OverlayStandings
0x82046FAA	\PLEAGUELOGIC::NameGenerator
0x820473D0	StanleyCupPlayoffs
0x820473FC	CalderCupPlayoffs
0x8204747C	TXT_PLAYOFF_CHAMPIONS
0x82047494	TXT_PLAYOFF_MODE
0x820474A8	FeLeague::QueryPlayerAward
0x82047540	TXT_TRANSACTION_PLAYOFFS
0x8204755C	TXT_TRANSACTION_ROOKIES
0x820475FC	TXT_TRANSACTION_TRADES
0x8204769C	SeriesScorePlayoff
0x8204787C	XSignedFreeAgentYLong
0x82047894	XSignedFreeAgentY
0x82047910	XSignedRookieY
0x82047BF0	NEWSPAPER_PLAYOFF_WINNER_1
0x82047C0C	NEWSPAPER_PLAYOFF_WINNER_0
0x82047C28	NEWSPAPER_PLAYOFF_SERIES_WINNER
0x82047C48	NEWSPAPER_PLAYOFF_SERIES_LOSER
0x82047C68	NEWSPAPER_PLAYOFFS_MADE
0x82047C80	NEWSPAPER_PLAYOFFS_MISSED
0x82047FF4	FEINTERFACE::FESTATS::StatsBrain::CreateTradeBlockStats
0x820487A4	GameEvent::ProgressMessage
0x820488B0	FeContract::mPlayerContractBrain
0x820488D4	FeContract
0x82048CA4	XOff.Season
0x82048CB0	XOff.Playoff
0x82048D54	XOff.Dynasty
0x8204939C	TXT_MOBILE_SeriesScorePlayoff
0x82049630	TXT_MOBILE_XSignedFreeAgentY
0x82049650	TXT_MOBILE_XSignedFreeAgentYLong
0x8204971C	TXT_MOBILE_XSignedRookieY
0x820498F8	NEWSPAPER_TRADE_GENERIC
0x82049910	NEWSPAPER_TRADE_1PLAYER_2PICKS
0x82049930	NEWSPAPER_TRADE_1PLAYER_1PICK
0x82049950	NEWSPAPER_TRADE_DRAFTPICK
0x8204996C	NEWSPAPER_TRADE_DRAFTPICKS
0x82049988	NEWSPAPER_TRADE_1PLAYER
0x820499A0	NEWSPAPER_TRADE_2PLAYERS
0x820499BC	NEWSPAPER_TRADE_3PLAYERS
0x82049AA4	NEWSPAPER_TOPDRAFTPICKS
0x82049B20	LEAGUETYPE_NHL_SEASON
0x82049B68	LEAGUETYPE_SEASON
0x82049F50	PreambleRookieAcceptance1A
0x82049F6C	PreambleRookieAcceptance1
0x8204A448	PreambleRookieRejections1A
0x8204A464	PreambleRookieRejections1
0x8204A9D4	Undrafted
0x8204AB34	FeLeagueManager::mFeSimulation
0x8204DE78	VISION_PROGRESS
0x8204DEAC	STICK_LOW_PROGRESS
0x8204DEEC	STICK_HIGH_PROGRESS
0x8204DF2C	RECOVER_PROGRESS
0x8204DF74	REBOUND_CONTROL_PROGRESS
0x8204DFCC	PUCK_PLAYING_FREQ_PROGRESS
0x8204E028	POKE_CHECK_PROGRESS
0x8204E068	GLOVE_LOW_PROGRESS
0x8204E0A8	GLOVE_HIGH_PROGRESS
0x8204E0E8	FIVE_HOLE_PROGRESS
0x8204E128	BREAKAWAY_PROGRESS
0x8204E164	ANGLES_PROGRESS
0x8204E194	SPEED_PROGRESS
0x8204E1BC	POISE_PROGRESS
0x8204E1F0	PASSING_PROGRESS
0x8204E20C	OVERALL_PROGRESS
0x8204E220	overall
0x8204E23C	ENDURANCE_PROGRESS
0x8204E27C	DURABILITY_PROGRESS
0x8204E2BC	AGILITY_PROGRESS
0x8204E2F8	AGGRESSIVENESS_PROGRESS
0x8204E348	FIGHTING_SKILL_PROGRESS
0x8204E398	STICK_CHECKING_PROGRESS
0x8204E3EC	WRIST_SHOT_POWER_PROGRESS
0x8204E44C	WRIST_SHOT_ACCURACY_PROGRESS
0x8204E4A8	STRENGTH_PROGRESS
0x8204E4E4	SLAP_SHOT_POWER_PROGRESS
0x8204E53C	SLAP_SHOT_ACCURACY_PROGRESS
0x8204E598	SHOT_BLOCKING_PROGRESS
0x8204E5E8	PUCK_CONTROL_PROGRESS
0x8204E63C	OFFENSIVE_AWARENESS_PROGRESS
0x8204E698	FACEOFFS_PROGRESS
0x8204E6CC	DISCIPLINE_PROGRESS
0x8204E708	DEKING_PROGRESS
0x8204E73C	HANDEYE_PROGRESS
0x8204E780	DEFENSIVE_AWARENESS_PROGRESS
0x8204E7E0	BODY_CHECKING_PROGRESS
0x8204E82C	BALANCE_PROGRESS
0x8204E868	ACCELERATION_PROGRESS
0x8204EAE4	TXT_TRADE_DIFFICULTY
0x8204EBF0	TXT_MUD_ENABLE_TRADES
0x8204EC7C	TXT_RETIRED_JERSEYS
0x8204ED24	TXT_DRAFT_PICK_OWNERSHIP
0x8204EEC0	FantasyDraft
0x8204EFE0	DynastyStartPoint
0x8204F004	PlayoffSeedingType
0x8204F018	PlayoffPrelimSeriesLength
0x8204F20C	TXT_DYNASTY_CPU_TRADES
0x8204F224	TXT_DYNASTY_LENGTH
0x8204F24C	TXT_TRADE_POPUPS
0x8204F26C	PlayoffTieBreak
0x8204F27C	PlayoffSeriesLength
0x8204F290	SeasonOvertimeLoss
0x8204F2C0	SeasonTieBreak
0x82054F74	gMatchBonusModifierRookie
0x82054F90	Rookie
0x82056AB0	fe/resource_kernel/scouting.brk
0x82056AD0	fe/resource_kernel/rookiegen.brk
0x82056B14	fe/resource_kernel/progression.brk
0x82056B9C	fe/resource_kernel/contracts.brk
0x82056BF0	fe/tradeai.bin
0x82056C00	fe/resource_kernel/seasonphase.brk
0x82056E60	dynamicratings
0x82056EB4	playofftourn
0x82056ECC	dynasty
0x82057CE0	DBDefaults::ahlSeason::ahlSchedule
0x820580BC	TXT_SIMULATION_DESC
0x82058168	db/draft_roster.db
0x8205A28C	LeagueRetirementReader::mIds
0x8205A4C8	LeagueScoutVisitWriter::SwapTeamVisits
0x8205A5DC	LEAGUE::LeagueRosterInfoReader::DraftPickList
0x8205A788	WriteAllRookieDataToServer
0x8205A7A4	%d/protected/competition/%d/rookies/add
0x8205A8F8	FillRookieDataFromServer
0x8205A914	%d/protected/competition/%d/rookies/list
0x8205A940	ClearAllRookieDataFromServer
0x8205A960	%d/protected/competition/%d/rookies/delete
0x8205A9C8	TXT_ADVANCE_TICK_STATUS_SIM_MATCH_PROGRESS
0x8205AA04	UpdateRookieDraftedByTeamOnServer
0x8205AA28	%d/protected/competition/%d/rookies/update
0x8205C440	TXT_BAP_CHL_DRAFT_WORSE_PLAYOFF
0x8205C460	TXT_BAP_CHL_DRAFT_IMPROVED_PLAYOFF
0x8205C484	TXT_BAP_SEASON_STATISTICS_REASON
0x8205C5D0	LeagueLogic::AwardBrain::StatsBrain
0x8205CB74	ResourceKernel::Progression::Instance
0x8205CBC0	ResourceKernel::RookieGen::Instance
0x8205CBE4	ResourceKernel::SeasonPhase::Instance
0x8205CC54	TeamTradeBlock::RecalculateAssetsOnBlock::assetIndexToRemove
0x8205D4B8	TXT_VIDEO_LEGEND_20_SEASONS_01
0x8205D5A0	TXT_VIDEO_LEGEND_8_PTS_PLAYOFF_01
0x8205DB80	TXT_SELECT_RATING_3
0x8205DB94	TXT_SELECT_RATING_2
0x8205DBA8	TXT_RATING_MAX
0x8205DBB8	TXT_RATING_MIN
0x8205DBC8	TXT_SELECT_RATING_1
0x8205DBDC	TXT_POTENTIAL_ACCUR_MAX
0x8205DBF4	TXT_POTENTIAL_ACCUR_MIN
0x8205DC0C	TXT_POTENTIAL_RANGE_MAX
0x8205DC24	TXT_POTENTIAL_RANGE_MIN
0x8205E54C	TXT_OVERALL_ABBR3
0x8205E720	TXT_HELP_RATING_FGHT
0x8205E738	TXT_HELP_RATING_STICK
0x8205E750	TXT_HELP_RATING_BDCHK
0x8205E768	TXT_HELP_RATING_HAND
0x8205E918	TXT_LOADING_PLAYOFF_MODE
0x8205E934	TXT_LOADING_MSG_SEASON1
0x8205E94C	TXT_LOADING_MSG_SEASON2
0x8205E964	TXT_LOADING_SEASON_MODE
0x8205EAB4	LoadingDynasty
0x8205EB58	season
0x82065804	FREEAGENTS
0x82065C60	CDynasty::GetAwardAttributes
0x82065C80	WhlPlayoffMvpTrophy_help
0x820660A0	LesterBPearsonAward_help
0x82066700	LoadOnlineSeasonGameRewardSuccess
0x82066724	LoadOnlineSeasonGameRewardFailure
0x82066748	LoadOnlineSeasonSuccess
0x82066760	LoadOnlineSeasonFailure
0x820668E8	TXT_BAP_RANK_ROOKIE_1
0x82066900	TXT_BAP_RANK_ROOKIE_2
0x82066918	TXT_BAP_RANK_ROOKIE_3
0x820671B0	IONFEINTERFACE::COnlineSeasons::COnlineSeasons
0x820672DE	>HStatClubProgress
0x820676E4	CDynasty::LeagueTransactionItem
0x82067828	TXT_UNDER_CONTRACT_ABBR
0x82067840	TXT_UNSIGNED_ROOKIE_ABBR
0x82067894	TXT_UNDER_CONTRACT
0x820678A8	TXT_UNSIGNED_ROOKIE
0x82067C10	TXT_OVERALL_GRADE
0x82067E48	TXT_SCOUT_VISITS_0
0x82067E5C	TXT_SCOUT_VISITS_1
0x82067E70	TXT_SCOUT_VISITS_2
0x82067E84	TXT_SCOUT_VISITS_MAX
0x820682CB	hAptLeague::LeagueAwards
0x820683C4	TXT_SEASONS_CLUBS_HUB_WINDOW_CLOSES
0x820683E8	TXT_SEASONS_CLUBS_HUB_WINDOW_OPEN
0x8206840C	TXT_SEASONS_CHAMPION
0x82068424	TXT_SEASONS_ELIMINATED
0x8206843C	TXT_SEASONS_CUP_LEVEL_%d
0x82068458	TXT_SEASONS_TOURNAMENT_ADVANCED
0x82068478	TXT_SEASONS_PTS
0x82068488	TXT_SEASONS_PT
0x82068718	Season
0x820688AC	NHLPlayoffDBLoadComplete
0x820688E4	NHLSeasonDBLoadComplete
0x820688FC	NHLDynastyDBLoadComplete
0x82068918	Prospects
0x82068990	artAssets/seasons/trophylarge/t%d_1.swf
0x82068B00	artAssets/seasons/trophy/t%d_1.swf
0x82068B38	curSeasonMov
0x82068B54	TXT_SEASONS_HUB_LGE_TITLE
0x82068B70	TXT_SEASONS_HUB_PROM
0x82068B88	TXT_SEASONS_HUB_REL
0x82068B9C	TXT_SEASONS_HUB_N_A
0x82068BBC	TXT_SEASONS_HUB_PROJ_TITLE
0x82068BD8	TXT_SEASONS_HUB_NEXT_DIVISION
0x82068BF8	TXT_SEASONS_HUB_LEAGUE_TITLE
0x82068C18	TXT_SEASONS_HUB_DIV_TITLE
0x82068C34	TXT_SEASONS_HUB_RELEGATION
0x82068C5C	TXT_SEASONS_HUB_GAMES_REMAINING
0x82068C88	TXT_SEASONS_HUB_SEASON_RECORD
0x82068CA8	seasonTies
0x82068CB4	seasonLosses
0x82068CC4	seasonWins
0x82068CD0	TXT_SEASONS_HUB_SEASON
0x82068CE8	seasons
0x82068D20	TXT_SEASONS_HUB_RECENT_GAMES
0x82068D80	TXT_SEASONS_HUB_RECORD
0x82068DBC	PublishSeasonResultData
0x82068DD4	TXT_SEASONS_RESULT_HOLD
0x82068DEC	TXT_SEASONS_RESULT_RELEGATION
0x82068E0C	TXT_SEASONS_RESULT_PROMOTION
0x82068E2C	TXT_SEASONS_RESULT_TITLE
0x82068E48	TXT_SEASONS_RESULT_LEAGUE_TITLE
0x82068E68	artAssets/seasons/trophy/notfound.swf
0x82068F4C	OffseasonOverProRosterSize
0x82068FD0	PlayersWithoutContracts_help
0x82068FF0	TradeDeadlineIsComing
0x82069018	DueToPlayerRetirement_rostermove
0x82069098	Notenoughplayersregularseason
0x820690B8	StopSimulation
0x820690C8	EndOfSeason
0x82069148	Signfreeagents
0x82069184	SimulateUpToThisDay
0x82069198	TXT_ENTER_ENTRY_DRAFT
0x82069280	TXT_HELP_TRADES_TOPIC
0x820692A8	TXT_HELP_DYNASTY_TOPIC
0x820692F4	TXT_HELP_SCOUTING_TOPIC
0x8206933C	TXT_HELP_NEW_TRADES_TOPIC
0x8206938C	TXT_HELP_PLAYER_RATINGS
0x82069430	TXT_HUT_TUTORIAL_ONLINE_SEASONS_CONTENT
0x82069458	TXT_HUT_TUTORIAL_ONLINE_SEASONS
0x820699A8	TXT_HELP_RATING_SBLK
0x820699C0	TXT_HELP_RATING_FACE
0x820699D8	TXT_HELP_RATING_DAWR
0x82069A04	TXT_HELP_RATING_STRN
0x82069A1C	TXT_HELP_RATING_DURA
0x82069A34	TXT_HELP_RATING_AGGR
0x82069A60	TXT_HELP_RATING_SPED
0x82069A78	TXT_HELP_RATING_ENDR
0x82069A90	TXT_HELP_RATING_BAL
0x82069AA4	TXT_HELP_RATING_AGIL
0x82069ABC	TXT_HELP_RATING_ACCL
